IPK,Jumlah_Absensi,Waktu_Belajar_Jam,Lulus
3.8,3,10,1
2.5,8,5,0
3.4,4,7,1
2.1,12,2,0
3.9,2,12,1
2.8,6,4,0
3.2,5,8,1
2.7,7,3,0
3.6,4,9,1
2.3,9,4,0
3.7,3,11,1
2.4,10,3,0
3.5,4,8,1
2.2,11,2,0
3.8,3,10,1
2.9,7,5,0
3.3,5,8,1
2.6,8,4,0
3.6,4,9,1
2.1,12,3,0
3.9,2,12,1
2.7,9,4,0
3.4,5,7,1
2.5,10,3,0
3.8,3,11,1
2.3,9,2,0
3.2,5,8,1
2.8,7,4,0
3.7,3,9,1
2.1,11,3,0
3.6,4,10,1
2.9,8,5,0
3.5,4,8,1
2.2,10,2,0
3.8,3,11,1
2.4,9,3,0
3.3,5,7,1
2.7,8,4,0
3.9,2,12,1
2.5,9,4,0
3.4,4,8,1
2.1,12,3,0
3.7,3,10,1
2.8,7,4,0
3.6,4,9,1
2.3,10,2,0
3.5,4,8,1
2.6,8,3,0
3.8,3,11,1
2.2,11,3,0
3.9,2,12,1
2.7,9,4,0
3.4,5,8,1
2.4,10,3,0
3.8,3,10,1
2.9,8,5,0
3.7,3,11,1
2.1,12,2,0
3.6,4,9,1
2.5,9,4,0
3.3,5,7,1
2.8,7,3,0
3.9,2,12,1
2.6,10,3,0
3.5,4,8,1
2.3,9,3,0
3.7,3,10,1
2.4,11,2,0
3.8,3,11,1
2.2,10,3,0
3.4,4,8,1
2.7,8,4,0
3.6,4,9,1
2.1,12,2,0
3.9,2,12,1
2.8,7,4,0
3.5,4,8,1
2.5,9,3,0
3.7,3,10,1
2.3,10,2,0
3.6,4,9,1
2.6,8,4,0
3.8,3,11,1
2.4,11,3,0
3.9,2,12,1
2.7,9,4,0
3.4,5,7,1
2.2,10,2,0
3.8,3,10,1
2.9,8,5,0
3.3,5,8,1
2.1,12,3,0
3.7,3,11,1
2.5,9,4,0
3.6,4,9,1
2.8,7,4,0
3.9,2,12,1
2.3,10,3,0
3.5,4,8,1
2.6,8,3,0
3.8,3,11,1
2.4,9,2,0
3.6,4,10,1
2.5,8,4,0
3.7,3,11,1
2.3,10,2,0
3.8,3,9,1
2.6,9,4,0
3.9,2,12,1
2.4,11,3,0
3.5,4,8,1
2.7,8,4,0
3.4,5,7,1
2.1,12,3,0
3.8,3,10,1
2.9,8,5,0
3.6,4,9,1
2.2,10,2,0
3.7,3,11,1
2.5,9,4,0
3.3,5,8,1
2.8,7,4,0
3.9,2,12,1
2.4,9,3,0
3.8,3,11,1
2.6,8,4,0
3.7,3,10,1
2.3,10,2,0
3.5,4,8,1
2.9,8,5,0
3.6,4,9,1
2.1,11,3,0
3.8,3,10,1
2.7,9,4,0
3.9,2,12,1
2.5,9,3,0
3.4,4,8,1
2.8,7,4,0
3.7,3,11,1
2.2,10,3,0
3.6,4,9,1
2.4,9,2,0
3.8,3,10,1
2.6,8,3,0
3.9,2,12,1
2.3,10,2,0
3.5,4,8,1
2.7,9,4,0
3.8,3,11,1
2.1,12,3,0
3.7,3,10,1
2.5,8,4,0
3.4,5,7,1
2.9,7,5,0
3.6,4,9,1
2.2,10,2,0
3.8,3,11,1
2.4,11,3,0
3.7,3,10,1
2.8,7,4,0
3.9,2,12,1
2.5,9,3,0
3.6,4,9,1
2.3,10,2,0
3.8,3,11,1
2.6,8,4,0
3.5,4,8,1
2.1,12,3,0
3.7,3,10,1
2.9,8,5,0
3.4,4,8,1
2.2,10,2,0
3.8,3,11,1
2.7,9,4,0
3.6,4,9,1
2.4,11,2,0
3.9,2,12,1
2.5,9,4,0
3.8,3,10,1
2.3,10,3,0
3.7,3,11,1
2.6,8,4,0
3.5,4,8,1
2.8,7,4,0
3.4,5,7,1
2.1,12,3,0
3.8,3,11,1
2.9,8,5,0
3.6,4,9,1
2.2,10,2,0
3.9,2,12,1
2.4,9,3,0
3.8,3,10,1
2.5,8,4,0
3.7,3,11,1
2.3,10,2,0
3.6,4,9,1
2.7,8,4,0
3.5,4,8,1
2.1,12,3,0
3.8,3,11,1
2.6,9,4,0
3.4,4,8,1
2.8,7,3,0
3.7,3,10,1
2.2,10,3,0
3.9,2,12,1
2.5,9,4,0
3.8,3,10,1
2.4,11,2,0

